actor,script,start_time,end_time,duration
빈센조,사 올게요,00:14:09,00:14:09,00:14:09
빈센조,"아휴, 그런 뜻이 아니라…",00:14:10,00:14:10,00:14:10
설명,[병뚜껑 따는 효과음],00:14:12,00:14:12,00:14:12
설명,[탄산 소리 효과음],00:14:13,00:14:13,00:14:13
설명,[흥미진진한 음악],00:14:17,00:14:17,00:14:17
설명,[출입문 종이 딸랑 울린다],00:14:33,00:14:33,00:14:33
설명,[형사1의 헛기침],00:14:42,00:14:42,00:14:42
설명,[비장한 음악],00:14:59,00:14:59,00:14:59
형사1,얼른 나누고 찢어지자,00:15:28,00:15:28,00:15:28
형사2,"예, 선배님",00:15:29,00:15:29,00:15:29
설명,[함께 웃는다],00:15:32,00:15:32,00:15:32
형사1,어?,00:15:36,00:15:36,00:15:36
설명,[카메라 셔터음],00:15:39,00:15:39,00:15:39
형사1,아이,00:15:40,00:15:40,00:15:40
형사1,오른쪽 사람 눈 감았네,00:15:41,00:15:41,00:15:41
형사1,하나 더 찍을까?,00:15:43,00:15:43,00:15:43
형사1,당신이 여기 왜…,00:15:45,00:15:45,00:15:45
빈센조,아,00:15:46,00:15:46,00:15:46
설명,[흥미진진한 음악],00:15:47,00:15:47,00:15:47
빈센조,내가 착한 돈 냄새는 잘 못 맡아도,00:15:48,00:15:48,00:15:48
빈센조,이 더러운 돈 냄새는,00:15:52,00:15:52,00:15:52
설명,[냄새를 킁 맡는다],00:15:54,00:15:54,00:15:54
빈센조,"음, 너무 잘 맡아서",00:15:56,00:15:56,00:15:56
형사2,"[빈센조의 탄성] 상관하지 말고 가시죠, 예?",00:15:59,00:15:59,00:15:59
형사2,"씁, 이 사람이 진짜",00:16:02,00:16:02,00:16:02
형사2,어?,00:16:04,00:16:04,00:16:04
설명,[형사2의 다급한 신음],00:16:06,00:16:06,00:16:06
빈센조,그래도 우상이 신용은 좋네,00:16:09,00:16:09,00:16:09
빈센조,사건 하나 처리했다고,00:16:12,00:16:12,00:16:12
빈센조,바로 이렇게 입금도 해 주고,00:16:14,00:16:14,00:16:14
형사1,"야, 주워, 빨리",00:16:17,00:16:17,00:16:17
