구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년05월26일,2077.14,1985.68,1974.06,2002.57,1986.94,1998.01,1984.00,2008.92,2011.74,2007.39,2001.71,1992.12,1996.27,1986.56,1986.76,2042.97,1995.09
2022년05월27일,2080.33,1991.36,1977.68,2005.05,1991.38,2000.24,1988.29,2012.26,2015.35,2009.72,2004.77,1994.45,1999.05,1988.59,1989.97,2043.87,1998.50
2022년05월28일,2082.03,1994.63,1981.30,2010.49,1993.31,2001.47,1990.68,2014.63,2017.44,2012.00,2007.47,1997.41,2001.86,1991.49,1992.27,2071.80,2001.23
2022년05월29일,2083.37,1994.57,1982.96,2011.98,1994.69,2002.39,1991.75,2015.41,2018.49,2012.92,2009.09,1998.37,2003.34,1992.60,1994.09,2072.48,2002.14
2022년05월30일,2086.09,1996.08,1985.43,2014.28,1996.17,2003.41,1993.46,2016.83,2019.82,2013.82,2010.15,2000.66,2005.67,1994.52,1996.08,2072.80,2004.39
2022년05월31일,2088.70,1998.96,1988.05,2015.99,1998.70,2006.00,1995.89,2018.91,2022.06,2015.97,2011.87,2003.08,2008.33,1996.63,1998.67,2073.89,2006.68
2022년06월01일,2087.46,2000.56,1991.24,2018.23,2000.02,2009.81,1999.36,2021.22,2024.83,2018.00,2015.11,2006.12,2011.90,2000.15,2002.36,2074.25,2012.05
2022년06월02일,2090.26,2006.86,1993.59,2019.08,2003.80,2014.17,2001.33,2022.75,2026.31,2020.21,2017.98,2007.79,2014.41,2002.42,2006.10,2074.72,2015.53
2022년06월03일,2092.42,2012.16,1997.80,2022.30,2006.61,2018.38,2004.63,2025.87,2028.80,2022.57,2020.96,2010.66,2017.23,2005.02,2010.22,2074.92,2017.42
2022년06월04일,2093.30,2016.16,2003.89,2031.80,2011.82,2024.28,2008.00,2030.25,2033.96,2027.61,2026.27,2015.47,2021.69,2009.77,2014.53,2117.58,2022.44
2022년06월05일,2096.70,2017.88,2006.03,2037.90,2014.18,2027.90,2010.88,2033.06,2037.34,2031.06,2029.06,2018.11,2024.47,2013.14,2017.74,2122.44,2026.95
2022년06월06일,2102.28,2019.31,2008.25,2042.79,2015.81,2029.83,2012.16,2035.81,2039.03,2033.42,2032.36,2020.22,2026.86,2016.05,2020.79,2126.11,2031.80
